scale,seed,gamma,rho,hybrid_run_key,reason
medium_large,183,1,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":1,""rho"":""0.025"",""scale"":""medium_large"",""seed"":183,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,182,0,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""medium_large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,182,1,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":1,""rho"":""0.025"",""scale"":""medium_large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,183,2,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""medium_large"",""seed"":183,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,180,0,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""medium_large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,181,2,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""medium_large"",""seed"":181,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,181,1,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":1,""rho"":""0.025"",""scale"":""medium_large"",""seed"":181,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,184,0,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""medium_large"",""seed"":184,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,184,2,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""medium_large"",""seed"":184,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
medium_large,182,2,0.025,"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""medium_large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}","no reference with identical instance, baseline, anchor, solver and certification identity"
